date,home_team,away_team,home_key,away_key,tournament,home_goals,away_goals,home_elo,away_elo,rating_diff,rating_sum,eafc_strength_diff,eafc_top_23_diff,eafc_attack_diff,eafc_midfield_diff,eafc_defense_diff,eafc_gk_diff,eafc_reliability_diff,home_recent_gf,away_recent_gf,home_recent_ga,away_recent_ga,home_recent_win_rate,away_recent_win_rate,home_advantage,neutral,importance,sample_weight
2014-09-09,Andorra,Wales,andorra,wales,UEFA Euro qualification,1,2,1116.4365674294231,1585.963721703508,-469.527154274085,2702.400289132931,-247.0179510459941,-5.956521739130437,-3.1666666666666714,-5.875,-7.25,-3.0,-0.9565217391304348,0.1,1.0,2.4,1.3,0.05,0.45,1,0,3.0,0.21890366153033247
2014-09-09,Haiti,Chile,haiti,chile,Friendly,0,1,1533.4686528444788,1890.820949271914,-357.35229642743525,3424.289602116393,-337.9217590647445,-8.148550724637673,-4.0,-11.0,-8.5,-4.666666666666671,-0.4782608695652174,0.7,1.5,2.0,0.8,0.2,0.6,0,1,1.0,0.12673369878071883
2014-09-09,Czech Republic,Netherlands,czechia,netherlands,UEFA Euro qualification,2,1,1716.7145565014005,2001.7271417490952,-285.0125852476947,3718.4416982504954,-274.0637121094237,-6.608695652173907,-1.6666666666666714,-7.25,-9.0,-3.0,0.0,1.5,1.8,1.3,0.6,0.45,0.8,1,0,3.0,0.21890366153033247
2014-09-09,Croatia,Malta,croatia,malta,UEFA Euro qualification,2,0,1804.740624049178,1271.2186773151748,533.5219467340032,3075.9593013643525,555.5972058458906,13.397515527950304,13.833333333333343,13.041666666666671,13.375,11.57142857142857,0.6956521739130435,1.5,0.7,1.1,2.3,0.6,0.2,1,0,3.0,0.21890366153033247
2014-09-09,China,Jordan,china,jordan,Friendly,1,1,1645.2952612698691,1627.9249978126634,17.370263457205738,3273.2202590825327,-243.31168008544978,-5.867149758454104,-6.0,-5.0,-5.708333333333343,-6.0909090909090935,0.6086956521739131,1.7,1.0,0.9,1.1,0.65,0.45,1,0,1.0,0.12673369878071883
2014-09-09,Bosnia and Herzegovina,Cyprus,bosnia and herzegovina,cyprus,UEFA Euro qualification,1,2,1729.2970404103469,1422.00973991673,307.28730049361684,3151.306780327077,302.912523910416,7.304347826086953,10.333333333333336,8.625,4.375,4.333333333333329,0.0,1.5,0.1,1.0,1.3,0.6,0.15,1,0,3.0,0.21890366153033247
2014-09-09,Azerbaijan,Bulgaria,azerbaijan,bulgaria,UEFA Euro qualification,1,2,1461.098256040055,1635.5627536447853,-174.46449760473024,3096.6610096848403,-9.77511078435441,-0.23571428571429465,-0.7000000000000028,-4.700000000000003,1.9166666666666714,-4.5,-0.26086956521739124,1.0,1.1,0.9,1.1,0.55,0.5,1,0,3.0,0.21890366153033247
2014-09-09,Iceland,Turkey,iceland,turkiye,UEFA Euro qualification,3,0,1525.00480081465,1739.3489808187521,-214.3441800041021,3264.353781633402,-342.5796401367802,-8.26086956521739,-7.0,-8.875,-9.0,-10.0,0.0,1.2,2.0,1.4,0.9,0.5,0.8,1,0,3.0,0.21890366153033247
2014-09-10,Lesotho,Gabon,lesotho,gabon,African Cup of Nations qualification,1,1,1347.0655884354135,1550.7190370049962,-203.65344856958268,2897.7846254404094,-13.340754194587362,-0.3216952129995576,-11.0,2.0,3.291666666666657,-0.5454545454545467,0.21739130434782605,0.7,0.7,0.9,0.9,0.4,0.35,1,0,3.0,0.21897859004629802
2014-09-10,Togo,Ghana,togo,ghana,African Cup of Nations qualification,2,3,1490.5957979904895,1736.9182596911708,-246.3224617006813,3227.5140576816602,-311.7023962560311,-7.516304347826093,-2.0,-13.0,-6.178571428571431,0.2083333333333286,-0.30434782608695654,1.0,1.7,1.5,1.2,0.35,0.4,1,0,3.0,0.21897859004629802
